electrode_count,event_count,charge_pp_nC,current_peak_abs_uA,current_pp_uA,duration_s
2,1,380.0,5.9813827527144605,11.962765505428704,0.7224555320336759
4,2,650.0,6.025449162492787,12.050776557564557,0.7224555320336759
6,3,841.8421052631579,6.157173171980785,12.311906471848197,0.7224555320336759
