electrode_count,event_count,modeled_total_transfer_charge_nC,integrated_positive_charge_nC,integrated_negative_charge_nC,current_peak_positive_uA,current_peak_negative_uA,current_peak_abs_uA,pulse_tau_s,pulse_weights,duration_s
2,1,380,380,-380,7.99999999987375,-7.99999999987375,7.99999999987375,0.0237503271603157,"1.0000",0.655685424949238
4,2,650,650,-650.023455618709,8.00015799957225,-8.00014527950221,8.00015799957225,0.0238145325282248,"1.0000,0.7105",0.655685424949238
6,3,841.842105263158,841.842105263158,-842.157315807249,8.00904712225204,-8.00851571049082,8.00904712225204,0.0240826117617526,"1.0000,0.7105,0.5048",0.655685424949238
