time_s,position_m,motion_velocity_m_per_s,source_charge_C,short_circuit_current_A
0,0,0,0,1.35759686389656e-10
5.4645005829589e-05,0,0,7.43564345119826e-15,1.36383882389031e-10
0.000109290011659178,0,0,1.49054744764598e-14,1.37010947087472e-10
0.000163935017488767,0,0,2.24096501957733e-14,1.37640893657697e-10
0.000218580023318356,0,0,2.99483284506008e-14,1.38273735332808e-10
0.000273225029147945,0,0,3.75216678071844e-14,1.38909485406562e-10
0.000327870034977534,0,0,4.51298275598686e-14,1.39548157233656e-10
0.000382515040807123,0,0,5.27729677344378e-14,1.40189764229999e-10
0.000437160046636712,0,0,6.04512490914693e-14,1.40834319872994e-10
0.000491805052466301,0,0,6.81648331297008e-14,1.4148183770182e-10
0.00054645005829589,0,0,7.59138820894139e-14,1.42132331317711e-10
0.000601095064125479,0,0,8.36985589558334e-14,1.42785814384244e-10
0.000655740069955068,0,0,9.15190274625411e-14,1.43442300627617e-10
0.000710385075784657,0,0,9.9375452094906e-14,1.44101803836942e-10
0.000765030081614246,0,0,1.0726799809353e-13,1.44764337864528e-10
0.000819675087443835,0,0,1.15196831457709e-13,1.45429916626172e-10
0.000874320093273424,0,0,1.23162118948909e-13,1.46098554101446e-10
0.000928965099103013,0,0,1.31164028094264e-13,1.46770264333991e-10
0.000983610104932602,0,0,1.39202727190077e-13,1.47445061431809e-10
0.00103825511076219,0,0,1.47278385305353e-13,1.48122959567556e-10
0.00109290011659178,0,0,1.55391172285332e-13,1.48803972978837e-10
0.00114754512242137,0,0,1.63541258755056e-13,1.49488115968502e-10
0.00120219012825096,0,0,1.71728816122934e-13,1.50175402904949e-10
0.00125683513408055,0,0,1.79954016584334e-13,1.50865848222414e-10
0.00131148013991014,0,0,1.88217033125194e-13,1.51559466421281e-10
0.00136612514573972,0,0,1.96518039525638e-13,1.52256272068377e-10
0.00142077015156931,0,0,2.0485721036362e-13,1.52956279797279e-10
0.0014754151573989,0,0,2.13234721018575e-13,1.53659504308618e-10
0.00153006016322849,0,0,2.21650747675098e-13,1.54365960370385e-10
0.00158470516905808,0,0,2.30105467326628e-13,1.55075662818237e-10
0.00163935017488767,0,0,2.38599057779156e-13,1.55788626555807e-10
0.00169399518071726,0,0,2.47131697654948e-13,1.56504866555015e-10
0.00174864018654685,0,0,2.55703566396284e-13,1.5722439785638e-10
0.00180328519237644,0,0,2.64314844269219e-13,1.5794723556933e-10
0.00185793019820603,0,0,2.7296571236735e-13,1.58673394872519e-10
0.00191257520403561,0,0,2.81656352615616e-13,1.59402891014143e-10
0.0019672202098652,0,0,2.90386947774098e-13,1.60135739312256e-10
0.00202186521569479,0,0,2.99157681441854e-13,1.6087195515509e-10
0.00207651022152438,0,0,3.07968738060754e-13,1.61611554001374e-10
0.00213115522735397,0,0,3.16820302919349e-13,1.62354551380656e-10
0.00218580023318356,0,0,3.25712562156744e-13,1.63100962893628e-10
0.00224044523901315,0,0,3.34645702766497e-13,1.63850804212447e-10
0.00229509024484274,0,0,3.43619912600533e-13,1.64604091081063e-10
0.00234973525067233,0,0,3.52635380373074e-13,1.6536083931555e-10
0.00240438025650191,0,0,3.61692295664594e-13,1.66121064804426e-10
0.0024590252623315,0,0,3.70790848925781e-13,1.66884783508994e-10
