time_s,shape_matched_short_circuit_current_A,shape_matched_short_circuit_current_uA,integrated_transferred_charge_C,integrated_transferred_charge_nC
3.169410338116e-03,-5.352190176007e-07,-5.352190176007e-01,-1.696345448342e-09,-1.696345448342e+00
3.224055343946e-03,-5.352188197201e-07,-5.352188197201e-01,-1.725592489272e-09,-1.725592489272e+00
3.278700349775e-03,-5.352186210010e-07,-5.352186210010e-01,-1.754839519366e-09,-1.754839519366e+00
3.333345355605e-03,-5.352184214396e-07,-5.352184214396e-01,-1.784086538578e-09,-1.784086538578e+00
3.387990361435e-03,-5.352182210319e-07,-5.352182210319e-01,-1.813333546863e-09,-1.813333546863e+00
3.442635367264e-03,-5.352180197740e-07,-5.352180197740e-01,-1.842580544172e-09,-1.842580544172e+00
3.497280373094e-03,-5.352178176620e-07,-5.352178176620e-01,-1.871827530461e-09,-1.871827530461e+00
3.551925378923e-03,-5.352176146918e-07,-5.352176146918e-01,-1.901074505681e-09,-1.901074505681e+00
3.606570384753e-03,-5.352174108595e-07,-5.352174108595e-01,-1.930321469787e-09,-1.930321469787e+00
3.661215390582e-03,-5.352172061611e-07,-5.352172061611e-01,-1.959568422730e-09,-1.959568422730e+00
3.715860396412e-03,-5.352170005926e-07,-5.352170005926e-01,-1.988815364464e-09,-1.988815364464e+00
3.770505402242e-03,-5.352167941498e-07,-5.352167941498e-01,-2.018062294942e-09,-2.018062294942e+00
3.825150408071e-03,-5.352165868288e-07,-5.352165868288e-01,-2.047309214113e-09,-2.047309214113e+00
3.879795413901e-03,-5.352163786254e-07,-5.352163786254e-01,-2.076556121932e-09,-2.076556121932e+00
3.934440419730e-03,-5.352161695357e-07,-5.352161695357e-01,-2.105803018349e-09,-2.105803018349e+00
3.989085425560e-03,-5.352159595553e-07,-5.352159595553e-01,-2.135049903316e-09,-2.135049903316e+00
4.043730431390e-03,-5.352157486803e-07,-5.352157486803e-01,-2.164296776785e-09,-2.164296776785e+00
4.098375437219e-03,-5.352155369065e-07,-5.352155369065e-01,-2.193543638705e-09,-2.193543638705e+00
4.153020443049e-03,-5.352153242296e-07,-5.352153242296e-01,-2.222790489029e-09,-2.222790489029e+00
4.207665448878e-03,-5.352151106455e-07,-5.352151106455e-01,-2.252037327706e-09,-2.252037327706e+00
4.262310454708e-03,-5.352148961499e-07,-5.352148961499e-01,-2.281284154687e-09,-2.281284154687e+00
4.316955460538e-03,-5.352146807388e-07,-5.352146807388e-01,-2.310530969921e-09,-2.310530969921e+00
4.371600466367e-03,-5.352144644077e-07,-5.352144644077e-01,-2.339777773359e-09,-2.339777773359e+00
4.426245472197e-03,-5.352142471524e-07,-5.352142471524e-01,-2.369024564951e-09,-2.369024564951e+00
4.480890478026e-03,-5.352140289686e-07,-5.352140289686e-01,-2.398271344645e-09,-2.398271344645e+00
4.535535483856e-03,-5.352138098520e-07,-5.352138098520e-01,-2.427518112392e-09,-2.427518112392e+00
4.590180489685e-03,-5.352135897984e-07,-5.352135897984e-01,-2.456764868139e-09,-2.456764868139e+00
4.644825495515e-03,-5.352133688032e-07,-5.352133688032e-01,-2.486011611835e-09,-2.486011611835e+00
4.699470501345e-03,-5.352131468622e-07,-5.352131468622e-01,-2.515258343430e-09,-2.515258343430e+00
4.754115507174e-03,-5.352129239710e-07,-5.352129239710e-01,-2.544505062870e-09,-2.544505062870e+00
4.808760513004e-03,-5.352127001251e-07,-5.352127001251e-01,-2.573751770105e-09,-2.573751770105e+00
4.863405518833e-03,-5.352124753201e-07,-5.352124753201e-01,-2.602998465080e-09,-2.602998465080e+00
4.918050524663e-03,-5.352122495517e-07,-5.352122495517e-01,-2.632245147746e-09,-2.632245147746e+00
4.972695530493e-03,-5.352120228152e-07,-5.352120228152e-01,-2.661491818048e-09,-2.661491818048e+00
5.027340536322e-03,-5.352117951062e-07,-5.352117951062e-01,-2.690738475933e-09,-2.690738475933e+00
5.081985542152e-03,-5.352115664202e-07,-5.352115664202e-01,-2.719985121349e-09,-2.719985121349e+00
5.136630547981e-03,-5.352113367527e-07,-5.352113367527e-01,-2.749231754240e-09,-2.749231754240e+00
5.191275553811e-03,-5.352111060990e-07,-5.352111060990e-01,-2.778478374555e-09,-2.778478374555e+00
5.245920559641e-03,-5.352108744547e-07,-5.352108744547e-01,-2.807724982239e-09,-2.807724982239e+00
5.300565565470e-03,-5.352106418152e-07,-5.352106418152e-01,-2.836971577237e-09,-2.836971577237e+00
5.355210571300e-03,-5.352104081757e-07,-5.352104081757e-01,-2.866218159496e-09,-2.866218159496e+00
5.409855577129e-03,-5.352101735317e-07,-5.352101735317e-01,-2.895464728959e-09,-2.895464728959e+00
5.464500582959e-03,-5.352099378785e-07,-5.352099378785e-01,-2.924711285574e-09,-2.924711285574e+00
5.519145588788e-03,-5.352097012114e-07,-5.352097012114e-01,-2.953957829282e-09,-2.953957829282e+00
5.573790594618e-03,-5.352094635258e-07,-5.352094635258e-01,-2.983204360031e-09,-2.983204360031e+00
5.628435600448e-03,-5.352092248168e-07,-5.352092248168e-01,-3.012450877764e-09,-3.012450877764e+00
5.683080606277e-03,-5.352089850798e-07,-5.352089850798e-01,-3.041697382423e-09,-3.041697382423e+00
5.737725612107e-03,-5.352087443100e-07,-5.352087443100e-01,-3.070943873955e-09,-3.070943873955e+00
5.792370617936e-03,-5.352085025026e-07,-5.352085025026e-01,-3.100190352301e-09,-3.100190352301e+00
5.847015623766e-03,-5.352082596527e-07,-5.352082596527e-01,-3.129436817405e-09,-3.129436817405e+00
5.901660629596e-03,-5.352080157556e-07,-5.352080157556e-01,-3.158683269210e-09,-3.158683269210e+00
5.956305635425e-03,-5.352077708064e-07,-5.352077708064e-01,-3.187929707658e-09,-3.187929707658e+00
6.010950641255e-03,-5.352075248002e-07,-5.352075248002e-01,-3.217176132693e-09,-3.217176132693e+00
6.065595647084e-03,-5.352072777321e-07,-5.352072777321e-01,-3.246422544255e-09,-3.246422544255e+00
6.120240652914e-03,-5.352070295971e-07,-5.352070295971e-01,-3.275668942287e-09,-3.275668942287e+00
6.174885658744e-03,-5.352067803904e-07,-5.352067803904e-01,-3.304915326730e-09,-3.304915326730e+00
6.229530664573e-03,-5.352065301070e-07,-5.352065301070e-01,-3.334161697526e-09,-3.334161697526e+00
6.284175670403e-03,-5.352062787418e-07,-5.352062787418e-01,-3.363408054616e-09,-3.363408054616e+00
6.338820676232e-03,-5.352060262899e-07,-5.352060262899e-01,-3.392654397940e-09,-3.392654397940e+00
6.393465682062e-03,-5.352057727462e-07,-5.352057727462e-01,-3.421900727440e-09,-3.421900727440e+00
6.448110687891e-03,-5.352055181056e-07,-5.352055181056e-01,-3.451147043054e-09,-3.451147043054e+00
6.502755693721e-03,-5.352052623631e-07,-5.352052623631e-01,-3.480393344723e-09,-3.480393344723e+00
6.557400699551e-03,-5.352050055136e-07,-5.352050055136e-01,-3.509639632388e-09,-3.509639632388e+00
6.612045705380e-03,-5.352047475519e-07,-5.352047475519e-01,-3.538885905985e-09,-3.538885905985e+00
6.666690711210e-03,-5.352044884729e-07,-5.352044884729e-01,-3.568132165457e-09,-3.568132165457e+00
6.721335717039e-03,-5.352042282713e-07,-5.352042282713e-01,-3.597378410740e-09,-3.597378410740e+00
6.775980722869e-03,-5.352039669421e-07,-5.352039669421e-01,-3.626624641774e-09,-3.626624641774e+00
6.830625728699e-03,-5.352037044799e-07,-5.352037044799e-01,-3.655870858496e-09,-3.655870858496e+00
6.885270734528e-03,-5.352034408795e-07,-5.352034408795e-01,-3.685117060845e-09,-3.685117060845e+00
6.939915740358e-03,-5.352031761357e-07,-5.352031761357e-01,-3.714363248759e-09,-3.714363248759e+00
6.994560746187e-03,-5.352029102431e-07,-5.352029102431e-01,-3.743609422174e-09,-3.743609422174e+00
7.049205752017e-03,-5.352026431964e-07,-5.352026431964e-01,-3.772855581028e-09,-3.772855581028e+00
7.103850757847e-03,-5.352023749903e-07,-5.352023749903e-01,-3.802101725257e-09,-3.802101725257e+00
7.158495763676e-03,-5.352021056193e-07,-5.352021056193e-01,-3.831347854799e-09,-3.831347854799e+00
7.213140769506e-03,-5.352018350782e-07,-5.352018350782e-01,-3.860593969588e-09,-3.860593969588e+00
7.267785775335e-03,-5.352015633614e-07,-5.352015633614e-01,-3.889840069562e-09,-3.889840069562e+00
7.322430781165e-03,-5.352012904636e-07,-5.352012904636e-01,-3.919086154656e-09,-3.919086154656e+00
7.377075786995e-03,-5.352010163792e-07,-5.352010163792e-01,-3.948332224805e-09,-3.948332224805e+00
7.431720792824e-03,-5.352007411028e-07,-5.352007411028e-01,-3.977578279943e-09,-3.977578279943e+00
7.486365798654e-03,-5.352004646288e-07,-5.352004646288e-01,-4.006824320007e-09,-4.006824320007e+00
7.541010804483e-03,-5.352001869517e-07,-5.352001869517e-01,-4.036070344930e-09,-4.036070344930e+00
7.595655810313e-03,-5.351999080659e-07,-5.351999080659e-01,-4.065316354646e-09,-4.065316354646e+00
7.650300816142e-03,-5.351996279659e-07,-5.351996279659e-01,-4.094562349089e-09,-4.094562349089e+00
7.704945821972e-03,-5.351993466459e-07,-5.351993466459e-01,-4.123808328193e-09,-4.123808328193e+00
7.759590827802e-03,-5.351990641004e-07,-5.351990641004e-01,-4.153054291891e-09,-4.153054291891e+00
7.814235833631e-03,-5.351987803236e-07,-5.351987803236e-01,-4.182300240115e-09,-4.182300240115e+00
7.868880839461e-03,-5.351984953099e-07,-5.351984953099e-01,-4.211546172798e-09,-4.211546172798e+00
7.923525845290e-03,-5.351982090535e-07,-5.351982090535e-01,-4.240792089873e-09,-4.240792089873e+00
7.978170851120e-03,-5.351979215487e-07,-5.351979215487e-01,-4.270037991272e-09,-4.270037991272e+00
8.032815856950e-03,-5.351976327897e-07,-5.351976327897e-01,-4.299283876925e-09,-4.299283876925e+00
8.087460862779e-03,-5.351973427707e-07,-5.351973427707e-01,-4.328529746765e-09,-4.328529746765e+00
8.142105868609e-03,-5.351970514858e-07,-5.351970514858e-01,-4.357775600722e-09,-4.357775600722e+00
8.196750874438e-03,-5.351967589292e-07,-5.351967589292e-01,-4.387021438727e-09,-4.387021438727e+00
8.251395880268e-03,-5.351964650951e-07,-5.351964650951e-01,-4.416267260710e-09,-4.416267260710e+00
8.306040886098e-03,-5.351961699774e-07,-5.351961699774e-01,-4.445513066602e-09,-4.445513066602e+00
8.360685891927e-03,-5.351958735703e-07,-5.351958735703e-01,-4.474758856332e-09,-4.474758856332e+00
8.415330897757e-03,-5.351955758677e-07,-5.351955758677e-01,-4.504004629829e-09,-4.504004629829e+00
8.469975903586e-03,-5.351952768638e-07,-5.351952768638e-01,-4.533250387023e-09,-4.533250387023e+00
8.524620909416e-03,-5.351949765524e-07,-5.351949765524e-01,-4.562496127842e-09,-4.562496127842e+00
8.579265915245e-03,-5.351946749274e-07,-5.351946749274e-01,-4.591741852214e-09,-4.591741852214e+00
8.633910921075e-03,-5.351943719830e-07,-5.351943719830e-01,-4.620987560068e-09,-4.620987560068e+00
8.688555926905e-03,-5.351940677128e-07,-5.351940677128e-01,-4.650233251332e-09,-4.650233251332e+00
8.743200932734e-03,-5.351937621108e-07,-5.351937621108e-01,-4.679478925932e-09,-4.679478925932e+00
8.797845938564e-03,-5.351934551708e-07,-5.351934551708e-01,-4.708724583796e-09,-4.708724583796e+00
8.852490944393e-03,-5.351931468867e-07,-5.351931468867e-01,-4.737970224851e-09,-4.737970224851e+00
8.907135950223e-03,-5.351928372521e-07,-5.351928372521e-01,-4.767215849023e-09,-4.767215849023e+00
8.961780956053e-03,-5.351925262609e-07,-5.351925262609e-01,-4.796461456237e-09,-4.796461456237e+00
9.016425961882e-03,-5.351922139068e-07,-5.351922139068e-01,-4.825707046420e-09,-4.825707046420e+00
9.071070967712e-03,-5.351919001834e-07,-5.351919001834e-01,-4.854952619498e-09,-4.854952619498e+00
9.125715973541e-03,-5.351915850845e-07,-5.351915850845e-01,-4.884198175393e-09,-4.884198175393e+00
9.180360979371e-03,-5.351912686036e-07,-5.351912686036e-01,-4.913443714034e-09,-4.913443714034e+00
9.235005985201e-03,-5.351909507344e-07,-5.351909507344e-01,-4.942689235342e-09,-4.942689235342e+00
9.289650991030e-03,-5.351906314704e-07,-5.351906314704e-01,-4.971934739241e-09,-4.971934739241e+00
9.344295996860e-03,-5.351903108052e-07,-5.351903108052e-01,-5.001180225656e-09,-5.001180225656e+00
9.398941002689e-03,-5.351899887324e-07,-5.351899887324e-01,-5.030425694510e-09,-5.030425694510e+00
9.453586008519e-03,-5.351896652453e-07,-5.351896652453e-01,-5.059671145726e-09,-5.059671145726e+00
9.508231014348e-03,-5.351893403375e-07,-5.351893403375e-01,-5.088916579226e-09,-5.088916579226e+00
9.562876020178e-03,-5.351890140024e-07,-5.351890140024e-01,-5.118161994932e-09,-5.118161994932e+00
9.617521026008e-03,-5.351886862333e-07,-5.351886862333e-01,-5.147407392767e-09,-5.147407392767e+00
9.672166031837e-03,-5.351883570237e-07,-5.351883570237e-01,-5.176652772651e-09,-5.176652772651e+00
9.726811037667e-03,-5.351880263669e-07,-5.351880263669e-01,-5.205898134507e-09,-5.205898134507e+00
9.781456043496e-03,-5.351876942562e-07,-5.351876942562e-01,-5.235143478253e-09,-5.235143478253e+00
9.836101049326e-03,-5.351873606848e-07,-5.351873606848e-01,-5.264388803812e-09,-5.264388803812e+00
9.890746055156e-03,-5.351870256461e-07,-5.351870256461e-01,-5.293634111102e-09,-5.293634111102e+00
9.945391060985e-03,-5.351866891331e-07,-5.351866891331e-01,-5.322879400044e-09,-5.322879400044e+00
1.000003606681e-02,-5.351863511392e-07,-5.351863511392e-01,-5.352124670554e-09,-5.352124670554e+00
1.005468107264e-02,-5.351860116574e-07,-5.351860116574e-01,-5.381369922557e-09,-5.381369922557e+00
1.010932607847e-02,-5.351856706809e-07,-5.351856706809e-01,-5.410615155968e-09,-5.410615155968e+00
1.016397108430e-02,-5.351853282028e-07,-5.351853282028e-01,-5.439860370705e-09,-5.439860370705e+00
1.021861609013e-02,-5.351849842160e-07,-5.351849842160e-01,-5.469105566686e-09,-5.469105566686e+00
1.027326109596e-02,-5.351846387137e-07,-5.351846387137e-01,-5.498350743829e-09,-5.498350743829e+00
1.032790610179e-02,-5.351842916889e-07,-5.351842916889e-01,-5.527595902050e-09,-5.527595902050e+00
1.038255110762e-02,-5.351839431344e-07,-5.351839431344e-01,-5.556841041266e-09,-5.556841041266e+00
1.043719611345e-02,-5.351835930433e-07,-5.351835930433e-01,-5.586086161393e-09,-5.586086161393e+00
1.049184111928e-02,-5.351832414084e-07,-5.351832414084e-01,-5.615331262348e-09,-5.615331262348e+00
1.054648612511e-02,-5.351828882225e-07,-5.351828882225e-01,-5.644576344045e-09,-5.644576344045e+00
1.060113113094e-02,-5.351825334786e-07,-5.351825334786e-01,-5.673821406399e-09,-5.673821406399e+00
1.065577613677e-02,-5.351821771693e-07,-5.351821771693e-01,-5.703066449326e-09,-5.703066449326e+00
1.071042114260e-02,-5.351818192876e-07,-5.351818192876e-01,-5.732311472739e-09,-5.732311472739e+00
1.076506614843e-02,-5.351814598260e-07,-5.351814598260e-01,-5.761556476553e-09,-5.761556476553e+00
1.081971115426e-02,-5.351810987773e-07,-5.351810987773e-01,-5.790801460680e-09,-5.790801460680e+00
1.087435616009e-02,-5.351807361342e-07,-5.351807361342e-01,-5.820046425035e-09,-5.820046425035e+00
1.092900116592e-02,-5.351803718893e-07,-5.351803718893e-01,-5.849291369529e-09,-5.849291369529e+00
1.098364617175e-02,-5.351800060352e-07,-5.351800060352e-01,-5.878536294075e-09,-5.878536294075e+00
1.103829117758e-02,-5.351796385644e-07,-5.351796385644e-01,-5.907781198585e-09,-5.907781198585e+00
1.109293618341e-02,-5.351792694695e-07,-5.351792694695e-01,-5.937026082970e-09,-5.937026082970e+00
1.114758118924e-02,-5.351788987430e-07,-5.351788987430e-01,-5.966270947141e-09,-5.966270947141e+00
1.120222619507e-02,-5.351785263773e-07,-5.351785263773e-01,-5.995515791009e-09,-5.995515791009e+00
1.125687120090e-02,-5.351781523649e-07,-5.351781523649e-01,-6.024760614484e-09,-6.024760614484e+00
1.131151620672e-02,-5.351777766981e-07,-5.351777766981e-01,-6.054005417470e-09,-6.054005417470e+00
1.136616121255e-02,-5.351773993693e-07,-5.351773993693e-01,-6.083250199888e-09,-6.083250199888e+00
1.142080621838e-02,-5.351770203708e-07,-5.351770203708e-01,-6.112494961642e-09,-6.112494961642e+00
1.147545122421e-02,-5.351766396950e-07,-5.351766396950e-01,-6.141739702639e-09,-6.141739702639e+00
1.153009623004e-02,-5.351762573340e-07,-5.351762573340e-01,-6.170984422788e-09,-6.170984422788e+00
1.158474123587e-02,-5.351758732800e-07,-5.351758732800e-01,-6.200229121997e-09,-6.200229121997e+00
1.163938624170e-02,-5.351754875254e-07,-5.351754875254e-01,-6.229473800173e-09,-6.229473800173e+00
1.169403124753e-02,-5.351751000621e-07,-5.351751000621e-01,-6.258718457222e-09,-6.258718457222e+00
1.174867625336e-02,-5.351747108823e-07,-5.351747108823e-01,-6.287963093052e-09,-6.287963093052e+00
1.180332125919e-02,-5.351743199781e-07,-5.351743199781e-01,-6.317207707567e-09,-6.317207707567e+00
1.185796626502e-02,-5.351739273414e-07,-5.351739273414e-01,-6.346452300675e-09,-6.346452300675e+00
1.191261127085e-02,-5.351735329644e-07,-5.351735329644e-01,-6.375696872279e-09,-6.375696872279e+00
1.196725627668e-02,-5.351731368389e-07,-5.351731368389e-01,-6.404941422285e-09,-6.404941422285e+00
1.202190128251e-02,-5.351727389570e-07,-5.351727389570e-01,-6.434185950596e-09,-6.434185950596e+00
1.207654628834e-02,-5.351723393103e-07,-5.351723393103e-01,-6.463430457117e-09,-6.463430457117e+00
1.213119129417e-02,-5.351719378909e-07,-5.351719378909e-01,-6.492674941751e-09,-6.492674941751e+00
1.218583630000e-02,-5.351715346906e-07,-5.351715346906e-01,-6.521919404401e-09,-6.521919404401e+00
1.224048130583e-02,-5.351711297010e-07,-5.351711297010e-01,-6.551163844969e-09,-6.551163844969e+00
1.229512631166e-02,-5.351707229140e-07,-5.351707229140e-01,-6.580408263357e-09,-6.580408263357e+00
1.234977131749e-02,-5.351703143212e-07,-5.351703143212e-01,-6.609652659467e-09,-6.609652659467e+00
1.240441632332e-02,-5.351699039143e-07,-5.351699039143e-01,-6.638897033200e-09,-6.638897033200e+00
1.245906132915e-02,-5.351694916850e-07,-5.351694916850e-01,-6.668141384456e-09,-6.668141384456e+00
1.251370633498e-02,-5.351690776247e-07,-5.351690776247e-01,-6.697385713136e-09,-6.697385713136e+00
1.256835134081e-02,-5.351686617251e-07,-5.351686617251e-01,-6.726630019139e-09,-6.726630019139e+00
1.262299634664e-02,-5.351682439777e-07,-5.351682439777e-01,-6.755874302365e-09,-6.755874302365e+00
1.267764135246e-02,-5.351678243738e-07,-5.351678243738e-01,-6.785118562708e-09,-6.785118562708e+00
1.273228635829e-02,-5.351674029051e-07,-5.351674029051e-01,-6.814362800075e-09,-6.814362800075e+00
1.278693136412e-02,-5.351669795628e-07,-5.351669795628e-01,-6.843607014360e-09,-6.843607014360e+00
1.284157636995e-02,-5.351665543382e-07,-5.351665543382e-01,-6.872851205460e-09,-6.872851205460e+00
1.289622137578e-02,-5.351661272228e-07,-5.351661272228e-01,-6.902095373272e-09,-6.902095373272e+00
1.295086638161e-02,-5.351656982078e-07,-5.351656982078e-01,-6.931339517692e-09,-6.931339517692e+00
1.300551138744e-02,-5.351652672843e-07,-5.351652672843e-01,-6.960583638617e-09,-6.960583638617e+00
1.306015639327e-02,-5.351648344437e-07,-5.351648344437e-01,-6.989827735941e-09,-6.989827735941e+00
1.311480139910e-02,-5.351643996770e-07,-5.351643996770e-01,-7.019071809561e-09,-7.019071809561e+00
1.316944640493e-02,-5.351639629753e-07,-5.351639629753e-01,-7.048315859369e-09,-7.048315859369e+00
1.322409141076e-02,-5.351635243298e-07,-5.351635243298e-01,-7.077559885261e-09,-7.077559885261e+00
1.327873641659e-02,-5.351630837314e-07,-5.351630837314e-01,-7.106803887130e-09,-7.106803887130e+00
1.333338142242e-02,-5.351626411712e-07,-5.351626411712e-01,-7.136047864869e-09,-7.136047864869e+00
1.338802642825e-02,-5.351621966400e-07,-5.351621966400e-01,-7.165291818370e-09,-7.165291818370e+00
1.344267143408e-02,-5.351617501288e-07,-5.351617501288e-01,-7.194535747525e-09,-7.194535747525e+00
1.349731643991e-02,-5.351613016285e-07,-5.351613016285e-01,-7.223779652227e-09,-7.223779652227e+00
1.355196144574e-02,-5.351608511298e-07,-5.351608511298e-01,-7.253023532366e-09,-7.253023532366e+00
1.360660645157e-02,-5.351603986236e-07,-5.351603986236e-01,-7.282267387832e-09,-7.282267387832e+00
1.366125145740e-02,-5.351599441005e-07,-5.351599441005e-01,-7.311511218516e-09,-7.311511218516e+00
1.371589646323e-02,-5.351594875513e-07,-5.351594875513e-01,-7.340755024307e-09,-7.340755024307e+00
1.377054146906e-02,-5.351590289667e-07,-5.351590289667e-01,-7.369998805095e-09,-7.369998805095e+00
1.382518647489e-02,-5.351585683371e-07,-5.351585683371e-01,-7.399242560767e-09,-7.399242560767e+00
1.387983148072e-02,-5.351581056533e-07,-5.351581056533e-01,-7.428486291212e-09,-7.428486291212e+00
