electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s,peak_current_ratio_vs_N2,mean_power_ratio_vs_N2,energy_ratio_vs_N2
2,1G,1.000000000000e+09,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,2.359692071403e+00,1.160639438723e+00,2.359692071403e+03,1.160639438723e+03,5.568146671843e+00,1.347083906720e+00,9.732779152326e+02,7.224555320337e-01,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
4,1G,1.000000000000e+09,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,2.361276224475e+00,1.532217717605e+00,2.361276224475e+03,1.532217717605e+03,5.575625408269e+00,2.347691134142e+00,1.696201291568e+03,7.224555320337e-01,1.000671338897e+00,1.742795027415e+00,1.742771786990e+00
6,1G,1.000000000000e+09,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,2.771464863905e+00,1.888708850784e+00,2.771464863905e+03,1.888708850784e+03,7.681017491863e+00,3.567221123028e+00,2.577308565258e+03,7.224555320337e-01,1.174502765633e+00,2.648106109228e+00,2.648070530443e+00
