time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.442007829845e-14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.020964513990e-05,0.000000000000e+00,0.000000000000e+00,5.095821568602e-18,8.484919929858e-14,1.366890623794e-21,4.540437402073e-17,4.540437402073e-08,2.061557180214e-24,6.206281312815e-29
1.204192902798e-04,0.000000000000e+00,0.000000000000e+00,1.021754602773e-17,8.528050159003e-14,5.473777319970e-21,9.101518755063e-17,9.101518755063e-08,8.283764364877e-24,3.735068826722e-28
1.806289354197e-04,0.000000000000e+00,0.000000000000e+00,1.536530504596e-17,8.571399626064e-14,1.233312172247e-20,1.368335030227e-16,1.368335030227e-07,1.872340754945e-23,1.186553001269e-27
2.408385805596e-04,0.000000000000e+00,0.000000000000e+00,2.053923096116e-17,8.614969445463e-14,2.195744959633e-20,1.828603882633e-16,1.828603882633e-07,3.343792159580e-23,2.756860560200e-27
3.010482256995e-04,0.000000000000e+00,0.000000000000e+00,2.573945678389e-17,8.658760737286e-14,3.435935116323e-20,2.290969165198e-16,2.290969165198e-07,5.248539715889e-23,5.343566825931e-27
3.612578708394e-04,0.000000000000e+00,0.000000000000e+00,3.096611620082e-17,8.702774627312e-14,4.955148142869e-20,2.755441664882e-16,2.755441664882e-07,7.592458768567e-23,9.209326635887e-27
4.214675159793e-04,0.000000000000e+00,0.000000000000e+00,3.621934357818e-17,8.747012247042e-14,6.754656051103e-20,3.222032223404e-16,3.222032223404e-07,1.038149164865e-22,1.462035251780e-26
4.816771611192e-04,0.000000000000e+00,0.000000000000e+00,4.149927396520e-17,8.791474733732e-14,8.835737397184e-20,3.690751737525e-16,3.690751737525e-07,1.362164838804e-22,2.184645523707e-26
5.418868062591e-04,0.000000000000e+00,0.000000000000e+00,4.680604309758e-17,8.836163230414e-14,1.119967731483e-19,4.161611159326e-16,4.161611159326e-07,1.731900744143e-22,3.116108477651e-26
6.020964513990e-04,0.000000000000e+00,0.000000000000e+00,5.213978740099e-17,8.881078885934e-14,1.384776754870e-19,4.634621496489e-16,4.634621496489e-07,2.147971641571e-22,4.284137175311e-26
6.623060965389e-04,0.000000000000e+00,0.000000000000e+00,5.750064399459e-17,8.926222854976e-14,1.678130648798e-19,5.109793812579e-16,5.109793812579e-07,2.610999280707e-22,5.716816927618e-26
7.225157416788e-04,0.000000000000e+00,0.000000000000e+00,6.288875069451e-17,8.971596298094e-14,2.000159920007e-19,5.587139227330e-16,5.587139227330e-07,3.121612474557e-22,7.442609525164e-26
7.827253868187e-04,0.000000000000e+00,0.000000000000e+00,6.830424601745e-17,9.017200381741e-14,2.350995746454e-19,6.066668916931e-16,6.066668916931e-07,3.680447174766e-22,9.490357513695e-26
8.429350319586e-04,0.000000000000e+00,0.000000000000e+00,7.374726918418e-17,9.063036278299e-14,2.730769980718e-19,6.548394114309e-16,6.548394114309e-07,4.288146547631e-22,1.188928851514e-25
9.031446770985e-04,0.000000000000e+00,0.000000000000e+00,7.921796012318e-17,9.109105166109e-14,3.139615153426e-19,7.032326109421e-16,7.032326109421e-07,4.945361050925e-22,1.466901959467e-25
9.633543222384e-04,0.000000000000e+00,0.000000000000e+00,8.471645947419e-17,9.155408229505e-14,3.577664476693e-19,7.518476249544e-16,7.518476249544e-07,5.652748511496e-22,1.785956167421e-25
1.023563967378e-03,0.000000000000e+00,0.000000000000e+00,9.024290859186e-17,9.201946658836e-14,4.045051847585e-19,8.006855939564e-16,8.006855939564e-07,6.410974203693e-22,2.149132399295e-25
1.083773612518e-03,0.000000000000e+00,0.000000000000e+00,9.579744954936e-17,9.248721650505e-14,4.541911851597e-19,8.497476642271e-16,8.497476642271e-07,7.220710928594e-22,2.559511861531e-25
1.143983257658e-03,0.000000000000e+00,0.000000000000e+00,1.013802251420e-16,9.295734406997e-14,5.068379766144e-19,8.990349878652e-16,8.990349878652e-07,8.082639094058e-22,3.020216498689e-25
1.204192902798e-03,0.000000000000e+00,0.000000000000e+00,1.069913788911e-16,9.342986136907e-14,5.624591564076e-19,9.485487228189e-16,9.485487228189e-07,8.997446795613e-22,3.534409453877e-25
1.264402547938e-03,0.000000000000e+00,0.000000000000e+00,1.126310550473e-16,9.390478054975e-14,6.210683917213e-19,9.982900329153e-16,9.982900329153e-07,9.965829898180e-22,4.105295534089e-25
1.324612193078e-03,0.000000000000e+00,0.000000000000e+00,1.182993985945e-16,9.438211382115e-14,6.826794199887e-19,1.048260087891e-15,1.048260087891e-06,1.098849211864e-21,4.736121680479e-25
1.384821838218e-03,0.000000000000e+00,0.000000000000e+00,1.239965552539e-16,9.486187345448e-14,7.473060492512e-19,1.098460063420e-15,1.098460063420e-06,1.206614510928e-21,5.430177443640e-25
1.445031483358e-03,0.000000000000e+00,0.000000000000e+00,1.297226714870e-16,9.534407178332e-14,8.149621585171e-19,1.148891141148e-15,1.148891141148e-06,1.319950854207e-21,6.190795463928e-25
1.505241128498e-03,0.000000000000e+00,0.000000000000e+00,1.354778945001e-16,9.582872120395e-14,8.856616981214e-19,1.199554508718e-15,1.199554508718e-06,1.438931019385e-21,7.021351956888e-25
1.565450773637e-03,0.000000000000e+00,0.000000000000e+00,1.412623722476e-16,9.631583417565e-14,9.594186900886e-19,1.250451359804e-15,1.250451359804e-06,1.563628603236e-21,7.925267203834e-25
1.625660418777e-03,0.000000000000e+00,0.000000000000e+00,1.470762534360e-16,9.680542322103e-14,1.036247228496e-18,1.301582894141e-15,1.301582894141e-06,1.694118030322e-21,8.906006047645e-25
