time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.577341153601e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.020964513990e-05,0.000000000000e+00,0.000000000000e+00,3.970255809466e-15,6.610764507014e-11,1.064971637441e-18,3.537544972957e-14,3.537544972957e-05,1.251422443569e-18,3.767385062371e-23
1.204192902798e-04,0.000000000000e+00,0.000000000000e+00,7.960686821967e-15,6.644357668938e-11,4.264726965787e-18,7.091168486193e-14,7.091168486193e-05,5.028467049957e-18,2.267288095852e-22
1.806289354197e-04,0.000000000000e+00,0.000000000000e+00,1.197139553821e-14,6.678121501730e-11,9.608971714858e-18,1.066095324332e-13,1.066095324332e-04,1.136559240563e-17,7.202690606968e-22
2.408385805596e-04,0.000000000000e+00,0.000000000000e+00,1.600248497946e-14,6.712056872126e-11,1.710746153630e-17,1.424698236739e-13,1.424698236739e-04,2.029765065768e-17,1.673485375107e-21
3.010482256995e-04,0.000000000000e+00,0.000000000000e+00,2.005405869015e-14,6.746164651257e-11,2.677000225677e-17,1.784933940303e-13,1.784933940303e-04,3.185989171247e-17,3.243678933845e-21
3.612578708394e-04,0.000000000000e+00,0.000000000000e+00,2.412622074054e-14,6.780445714676e-11,3.860645013239e-17,2.146810831857e-13,2.146810831857e-04,4.608796747777e-17,5.590285404475e-21
4.214675159793e-04,0.000000000000e+00,0.000000000000e+00,2.821907572942e-14,6.814900942377e-11,5.262671210453e-17,2.510337350818e-13,2.510337350818e-04,6.301793614911e-17,8.874899274496e-21
4.816771611192e-04,0.000000000000e+00,0.000000000000e+00,3.233272878674e-14,6.849531218822e-11,6.884074605684e-17,2.875521979407e-13,2.875521979407e-04,8.268626654052e-17,1.326129844416e-20
5.418868062591e-04,0.000000000000e+00,0.000000000000e+00,3.646728557635e-14,6.884337432957e-11,8.725856107364e-17,3.242373242863e-13,3.242373242863e-04,1.051298424603e-16,1.891546908141e-20
6.020964513990e-04,0.000000000000e+00,0.000000000000e+00,4.062285229867e-14,6.919320478242e-11,1.078902176996e-16,3.610899709663e-13,3.610899709663e-04,1.303859671324e-16,2.600563074162e-20
6.623060965389e-04,0.000000000000e+00,0.000000000000e+00,4.479953569347e-14,6.954481252666e-11,1.307458282006e-16,3.981109991739e-13,3.981109991739e-04,1.584923676632e-16,3.470226175495e-20
7.225157416788e-04,0.000000000000e+00,0.000000000000e+00,4.899744304253e-14,6.989820658780e-11,1.558355568262e-16,4.353012744701e-13,4.353012744701e-04,1.894871995553e-16,4.517812488403e-20
7.827253868187e-04,0.000000000000e+00,0.000000000000e+00,5.321668217245e-14,7.025339603708e-11,1.831696200734e-16,4.726616668060e-13,4.726616668060e-04,2.234090512678e-16,5.760829325486e-20
8.429350319586e-04,0.000000000000e+00,0.000000000000e+00,5.745736145738e-14,7.061038999182e-11,2.127582869513e-16,5.101930505444e-13,5.101930505444e-04,2.602969488238e-16,7.217017656364e-20
9.031446770985e-04,0.000000000000e+00,0.000000000000e+00,6.171958982182e-14,7.096919761555e-11,2.446118792476e-16,5.478963044830e-13,5.478963044830e-04,3.001903604662e-16,8.904354756252e-20
9.633543222384e-04,0.000000000000e+00,0.000000000000e+00,6.600347674342e-14,7.132982811834e-11,2.787407717962e-16,5.857723118764e-13,5.857723118764e-04,3.431292013611e-16,1.084105688271e-19
1.023563967378e-03,0.000000000000e+00,0.000000000000e+00,7.030913225574e-14,7.169229075696e-11,3.151553927465e-16,6.238219604589e-13,6.238219604589e-04,3.891538383508e-16,1.304558198086e-19
1.083773612518e-03,0.000000000000e+00,0.000000000000e+00,7.463666695112e-14,7.205659483514e-11,3.538662238334e-16,6.620461424670e-13,6.620461424670e-04,4.383050947555e-16,1.553663241737e-19
1.143983257658e-03,0.000000000000e+00,0.000000000000e+00,7.898619198349e-14,7.242274970383e-11,3.948838006495e-16,7.004457546627e-13,7.004457546627e-04,4.906242552250e-16,1.833315774349e-19
1.204192902798e-03,0.000000000000e+00,0.000000000000e+00,8.335781907122e-14,7.279076476140e-11,4.382187129179e-16,7.390216983560e-13,7.390216983560e-04,5.461530706411e-16,2.145435748746e-19
1.264402547938e-03,0.000000000000e+00,0.000000000000e+00,8.775166050001e-14,7.316064945394e-11,4.838816047668e-16,7.777748794283e-13,7.777748794283e-04,6.049337630697e-16,2.491968397661e-19
1.324612193078e-03,0.000000000000e+00,0.000000000000e+00,9.216782912572e-14,7.353241327542e-11,5.318831750056e-16,8.167062083552e-13,8.167062083552e-04,6.670090307659e-16,2.874884518936e-19
1.384821838218e-03,0.000000000000e+00,0.000000000000e+00,9.660643837730e-14,7.390606576800e-11,5.822341774023e-16,8.558166002303e-13,8.558166002303e-04,7.324220532298e-16,3.296180763762e-19
1.445031483358e-03,0.000000000000e+00,0.000000000000e+00,1.010676022597e-13,7.428161652225e-11,6.349454209618e-16,8.951069747883e-13,8.951069747883e-04,8.012164963147e-16,3.757879927967e-19
1.505241128498e-03,0.000000000000e+00,0.000000000000e+00,1.055514353568e-13,7.465907517738e-11,6.900277702064e-16,9.345782564287e-13,9.345782564287e-04,8.734365173892e-16,4.262031246405e-19
1.565450773637e-03,0.000000000000e+00,0.000000000000e+00,1.100580528342e-13,7.503845142151e-11,7.474921454575e-16,9.742313742392e-13,9.742313742392e-04,9.491267705520e-16,4.810710690464e-19
1.625660418777e-03,0.000000000000e+00,0.000000000000e+00,1.145875704425e-13,7.541975499192e-11,8.073495231181e-16,1.014067262020e-12,1.014067262020e-03,1.028332411901e-15,5.406021268735e-19
1.685870063917e-03,0.000000000000e+00,0.000000000000e+00,1.191401045198e-13,7.580299567528e-11,8.696109359579e-16,1.054086858307e-12,1.054086858307e-03,1.111099104856e-15,6.050093330860e-19
1.746079709057e-03,0.000000000000e+00,0.000000000000e+00,1.237157719953e-13,7.618818330789e-11,9.342874733985e-16,1.094291106397e-12,1.094291106397e-03,1.197473025539e-15,6.745084874615e-19
1.806289354197e-03,0.000000000000e+00,0.000000000000e+00,1.283146903917e-13,7.657532777598e-11,1.001390281801e-15,1.134680954370e-12,1.134680954370e-03,1.287500868209e-15,7.493181856237e-19
1.866498999337e-03,0.000000000000e+00,0.000000000000e+00,1.329369778284e-13,7.696443901591e-11,1.070930564756e-15,1.175257355114e-12,1.175257355114e-03,1.381229850751e-15,8.296598504050e-19
1.926708644477e-03,0.000000000000e+00,0.000000000000e+00,1.375827530247e-13,7.735552701445e-11,1.142919583370e-15,1.216021266354e-12,1.216021266354e-03,1.478707720224e-15,9.157577635403e-19
1.986918289617e-03,0.000000000000e+00,0.000000000000e+00,1.422521353028e-13,7.774860180905e-11,1.217368656564e-15,1.256973650666e-12,1.256973650666e-03,1.579982758469e-15,1.007839097698e-18
2.047127934757e-03,0.000000000000e+00,0.000000000000e+00,1.469452445906e-13,7.814367348805e-11,1.294289161358e-15,1.298115475514e-12,1.298115475514e-03,1.685103787769e-15,1.106133948848e-18
2.107337579897e-03,0.000000000000e+00,0.000000000000e+00,1.516622014252e-13,7.854075219097e-11,1.373692533173e-15,1.339447713265e-12,1.339447713265e-03,1.794120176571e-15,1.210875368975e-18
2.167547225036e-03,0.000000000000e+00,0.000000000000e+00,1.564031269554e-13,7.893984810879e-11,1.455590266124e-15,1.380971341220e-12,1.380971341220e-03,1.907081845270e-15,1.322299399138e-18
2.227756870176e-03,0.000000000000e+00,0.000000000000e+00,1.611681429455e-13,7.934097148416e-11,1.539993913318e-15,1.422687341635e-12,1.422687341635e-03,2.024039272049e-15,1.440645102876e-18
2.287966515316e-03,0.000000000000e+00,0.000000000000e+00,1.659573717778e-13,7.974413261169e-11,1.626915087153e-15,1.464596701750e-12,1.464596701750e-03,2.145043498776e-15,1.566154599971e-18
2.348176160456e-03,0.000000000000e+00,0.000000000000e+00,1.707709364562e-13,8.014934183821e-11,1.716365459620e-15,1.506700413809e-12,1.506700413809e-03,2.270146136974e-15,1.699073100568e-18
