electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s,peak_current_ratio_vs_N2,mean_power_ratio_vs_N2,energy_ratio_vs_N2
2,1G,1.000000000000e+09,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,2.359682892227e+00,1.160634923849e+00,2.359682892227e+03,1.160634923849e+03,5.568103351870e+00,1.347073426457e+00,9.732703431667e+02,7.224555320337e-01,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
4,1G,1.000000000000e+09,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,2.358428739332e+00,1.530370001890e+00,2.358428739332e+03,1.530370001890e+03,5.562186118507e+00,2.342032342686e+00,1.692112828126e+03,7.224555320337e-01,9.994685078664e-01,1.738607782388e+00,1.738584597801e+00
6,1G,1.000000000000e+09,3,8.358443177543e+02,8.418421052632e+02,8.003199395361e+00,2.751719287819e+00,1.875252557398e+00,2.751719287819e+03,1.875252557398e+03,7.571959038957e+00,3.516572154026e+00,2.540714808626e+03,7.224555320337e-01,1.166139440551e+00,2.610527447843e+00,2.610492373948e+00
