electrode_count,scan_length_m,duration_s,charge_peak_to_peak_C,cumulative_transfer_charge_C,current_peak_abs_A,voltage_peak_abs_V,power_peak_W,power_mean_W,energy_final_J,energy_per_meter_J_per_m,pulse_count_estimate
2,6.900000000000e-02,6.900000000000e-01,1.625624299600e-07,3.251234120771e-07,1.134972854748e-06,1.134972854748e+02,1.288163381016e-04,3.317729431953e-05,2.296864085239e-05,3.328788529332e-04,2
4,1.110000000000e-01,1.110000000000e+00,1.625633515392e-07,6.500000000000e-07,1.134922762559e-06,1.134922762559e+02,1.288049676975e-04,4.754545610864e-05,5.290772558800e-05,4.766461764685e-04,6
6,1.530000000000e-01,1.530000000000e+00,1.625630376741e-07,9.748610141119e-07,1.134945775289e-06,1.134945775289e+02,1.288101912847e-04,5.406634645978e-05,8.285960942670e-05,5.415660746843e-04,10
