time_s,x_ball_m,charge_C,current_A,voltage_V,power_W,energy_J,voc_estimate_V,signed_coupling,abs_coupling
0.000000000000e+00,-1.600000000000e-02,-7.239214706317e-13,-1.537986431417e-10,-1.537986431417e-02,2.365402263221e-12,0.000000000000e+00,-1.423044019458e-01,7.920489931104e-06,7.920489931104e-06
2.781954887218e-03,-1.572180451128e-02,-1.151782357567e-12,-1.953955412866e-10,-1.953955412866e-02,3.817941755469e-12,8.600892056073e-15,-2.264108832443e-01,1.260175438363e-05,1.260175438363e-05
5.563909774436e-03,-1.544360902256e-02,-1.811084632677e-12,-2.988488785020e-10,-2.988488785020e-02,8.931065218190e-12,2.633447318485e-14,-3.560128079934e-01,1.981523988366e-05,1.981523988366e-05
8.345864661654e-03,-1.516541353383e-02,-2.814550553744e-12,-4.514831109689e-10,-4.514831109689e-02,2.038369994902e-11,6.711065029712e-14,-5.532684822113e-01,3.079425079361e-05,3.079425079361e-05
1.112781954887e-02,-1.488721804511e-02,-4.323095926790e-12,-6.737303762017e-10,-6.737303762017e-02,4.539126198169e-11,1.586021386970e-13,-8.498098279627e-01,4.729938142249e-05,4.729938142249e-05
1.390977443609e-02,-1.460902255639e-02,-6.563125579227e-12,-9.930878772916e-10,-9.930878772916e-02,9.862235320236e-11,3.589218289906e-13,-1.290142229974e+00,7.180774735342e-05,7.180774735342e-05
1.669172932331e-02,-1.433082706767e-02,-9.848547274127e-12,-1.445934997247e-09,-1.445934997247e-01,2.090728016265e-10,7.869188488653e-13,-1.935971906809e+00,1.077538416600e-04,1.077538416600e-04
1.947368421053e-02,-1.405263157895e-02,-1.460817744361e-11,-2.079564978919e-09,-2.079564978919e-01,4.324590501547e-10,1.679275184050e-12,-2.871593175454e+00,1.598293835006e-04,1.598293835006e-04
2.225563909774e-02,-1.377443609023e-02,-2.141905918691e-11,-2.954354090963e-09,-2.954354090963e-01,8.728208094787e-10,3.494890026397e-12,-4.210437915558e+00,2.343478533322e-04,2.343478533322e-04
2.503759398496e-02,-1.349624060150e-02,-3.104593704746e-11,-4.145942874232e-09,-4.145942874232e-01,1.718884231640e-09,7.099893279081e-12,-6.102835298599e+00,3.396763899979e-04,3.396763899979e-04
2.781954887218e-02,-1.321804511278e-02,-4.448671126911e-11,-5.747249183712e-09,-5.747249183712e-01,3.303087317968e-09,1.408534242703e-11,-8.744946929340e+00,4.867331098322e-04,4.867331098322e-04
3.060150375940e-02,-1.293984962406e-02,-6.302311295684e-11,-7.870075755205e-09,-7.870075755205e-01,6.193809239267e-09,2.729531132243e-11,-1.238872828327e+01,6.895415481542e-04,6.895415481542e-04
3.338345864662e-02,-1.266165413534e-02,-8.827510268904e-11,-1.064602260787e-08,-1.064602260787e+00,1.133377973672e-08,5.167579222888e-11,-1.735262207916e+01,9.658258393768e-04,9.658258393768e-04
3.616541353383e-02,-1.238345864662e-02,-1.222566222036e-10,-1.422637550720e-08,-1.422637550720e+00,2.023897600719e-08,9.559278330123e-11,-2.403251763124e+01,1.337620701220e-03,1.337620701220e-03
3.894736842105e-02,-1.210526315789e-02,-1.674293724284e-10,-1.878062624658e-08,-1.878062624658e+00,3.527119222137e-08,1.728061751981e-10,-3.291232223128e+01,1.831859824979e-03,1.831859824979e-03
4.172932330827e-02,-1.182706766917e-02,-2.267503321470e-10,-2.449329940816e-08,-2.449329940816e+00,5.999217158980e-08,3.053153654617e-10,-4.457330210005e+01,2.480895781524e-03,2.480895781524e-03
4.451127819549e-02,-1.154887218045e-02,-3.037078804136e-10,-3.155882319393e-08,-3.155882319393e+00,9.959593213860e-08,5.272988180163e-10,-5.970118312800e+01,3.322895239886e-03,3.322895239886e-03
4.729323308271e-02,-1.127067669173e-02,-4.023407769854e-10,-4.017429549677e-08,-4.017429549677e+00,1.613974018662e-07,8.903346585493e-10,-7.908988194167e+01,4.402046633877e-03,4.402046633877e-03
5.007518796992e-02,-1.099248120301e-02,-5.272340358092e-10,-5.053016209455e-08,-5.053016209455e+00,2.553297281301e-07,1.469992696514e-09,-1.036406947370e+02,5.768515013539e-03,5.768515013539e-03
5.285714285714e-02,-1.071428571429e-02,-6.834860397671e-10,-6.279903610794e-08,-6.279903610794e+00,3.943718936086e-07,2.373712997429e-09,-1.343558328812e+02,7.478082244614e-03,7.478082244614e-03
5.563909774436e-02,-1.043609022556e-02,-8.766422066353e-10,-7.712313266364e-08,-7.712313266364e+00,5.947977591853e-07,3.749625672368e-09,-1.723253833414e+02,9.591421241834e-03,9.591421241834e-03
5.842105263158e-02,-1.015789473684e-02,-1.112592191429e-09,-9.360104731786e-08,-9.360104731786e+00,8.761156059001e-07,5.795632984705e-09,-2.187071013003e+02,1.217297125053e-02,1.217297125053e-02
6.120300751880e-02,-9.879699248120e-03,-1.397429988705e-09,-1.122748408517e-07,-1.122748408517e+01,1.260563988827e-06,8.767706105189e-09,-2.746989098557e+02,1.528940721333e-02,1.528940721333e-02
6.398496240602e-02,-9.601503759398e-03,-1.737279275867e-09,-1.331185712410e-07,-1.331185712410e+01,1.772055400924e-06,1.298601127138e-08,-3.415045669931e+02,1.900772883558e-02,1.900772883558e-02
6.676691729323e-02,-9.323308270677e-03,-2.138089708391e-09,-1.560294999480e-07,-1.560294999480e+01,2.434520485403e-06,1.883726344410e-08,-4.202936224471e+02,2.339303183304e-02,2.339303183304e-02
6.954887218045e-02,-9.045112781955e-03,-2.605413335728e-09,-1.808231629876e-07,-1.808231629876e+01,3.269701627282e-06,2.677170773618e-08,-5.121574668021e+02,2.850606167820e-02,2.850606167820e-02
7.233082706767e-02,-8.766917293233e-03,-3.144173472382e-09,-2.072333170752e-07,-2.072333170752e+01,4.294564770600e-06,3.729343167308e-08,-6.180638974703e+02,3.440068479792e-02,3.440068479792e-02
7.511278195489e-02,-8.488721804511e-03,-3.758440814192e-09,-2.349174434409e-07,-2.349174434409e+01,5.518620523283e-06,5.094335106683e-08,-7.388131088935e+02,4.112143904156e-02,4.112143904156e-02
7.789473684211e-02,-8.210526315789e-03,-4.451232932129e-09,-2.634680327420e-07,-2.634680327420e+01,6.941540427695e-06,6.827515389338e-08,-8.749982781629e+02,4.870133992457e-02,4.870133992457e-02
