time_s,x_ball_m,charge_C,current_A,voltage_V,power_W,energy_J,voc_estimate_V,signed_coupling,abs_coupling
0.000000000000e+00,-1.600000000000e-02,-7.239214706317e-13,-1.508835123782e-10,-1.508835123782e-02,2.276583430758e-12,0.000000000000e+00,-9.290948556789e-02,7.920489931104e-06,7.920489931104e-06
2.554257095159e-03,-1.574457429048e-02,-1.109316752666e-12,-1.877612441643e-10,-1.877612441643e-02,3.525428481013e-12,7.409915045917e-15,-1.423718635284e-01,1.213713438038e-05,1.213713438038e-05
5.108514190317e-03,-1.548914858097e-02,-1.683102450837e-12,-2.778110083100e-10,-2.778110083100e-02,7.717895633820e-12,2.176908524266e-14,-2.160126328742e-01,1.841497531940e-05,1.841497531940e-05
7.662771285476e-03,-1.523372287145e-02,-2.528518230844e-12,-4.068012898944e-10,-4.068012898944e-02,1.654872894597e-11,5.276068424690e-14,-3.245149337424e-01,2.766474541850e-05,2.766474541850e-05
1.021702838063e-02,-1.497829716194e-02,-3.761252612901e-12,-5.895300264680e-10,-5.895300264680e-02,3.475456521074e-11,1.182815857993e-13,-4.827264551922e-01,4.115220318418e-05,4.115220318418e-05
1.277128547579e-02,-1.472287145242e-02,-5.540140736674e-12,-8.455160887153e-10,-8.455160887153e-02,7.148974562764e-11,2.539692281889e-13,-7.110324071048e-01,6.061517816765e-05,6.061517816765e-05
1.532554257095e-02,-1.446744574290e-02,-8.080583550245e-12,-1.200140346677e-09,-1.200140346677e-01,1.440336851722e-10,5.292203543355e-13,-1.037077764922e+00,8.841039151845e-05,8.841039151845e-05
1.787979966611e-02,-1.421202003339e-02,-1.167107472804e-11,-1.685926409858e-09,-1.685926409858e-01,2.842347859456e-10,1.076174244828e-12,-1.497888366346e+00,1.276942784802e-04,1.276942784802e-04
2.043405676127e-02,-1.395659432387e-02,-1.669316253883e-11,-2.343927612754e-09,-2.343927612754e-01,5.493996653830e-10,2.140832600865e-12,-2.142432856192e+00,1.826413929839e-04,1.826413929839e-04
2.298831385643e-02,-1.370116861436e-02,-2.364506219887e-11,-3.225164104696e-09,-3.225164104696e-01,1.040168350222e-09,4.170915291913e-12,-3.034653141592e+00,2.587027525280e-04,2.587027525280e-04
2.554257095159e-02,-1.344574290484e-02,-3.316895913377e-11,-4.392027466799e-09,-4.392027466799e-01,1.928990526912e-09,7.962912856199e-12,-4.256968545569e+00,3.629045656223e-04,3.629045656223e-04
2.809682804674e-02,-1.319031719533e-02,-4.608179683728e-11,-5.919541555955e-09,-5.919541555955e-01,3.504097223268e-09,1.490166432346e-11,-5.914227180553e+00,5.041850845208e-04,5.041850845208e-04
3.065108514190e-02,-1.293489148581e-02,-6.340902117254e-11,-7.896339558658e-09,-7.896339558658e-01,6.235217842562e-09,2.734002162790e-11,-8.138036757445e+00,6.937638046570e-04,6.937638046570e-04
3.320534223706e-02,-1.267946577629e-02,-8.642035952425e-11,-1.042519169979e-08,-1.042519169979e+00,1.086846219773e-08,4.918361967602e-11,-1.109135655140e+01,9.455329275659e-04,9.455329275659e-04
3.575959933222e-02,-1.242404006678e-02,-1.166662609077e-10,-1.362289965363e-08,-1.362289965363e+00,1.855833949728e-08,8.676542818467e-11,-1.497317419610e+01,1.276456055396e-03,1.276456055396e-03
3.831385642738e-02,-1.216861435726e-02,-1.560131357181e-10,-1.761936694713e-08,-1.761936694713e+00,3.104420916177e-08,1.501142591098e-10,-2.002302842151e+01,1.706953752175e-03,1.706953752175e-03
4.086811352254e-02,-1.191318864775e-02,-2.066750469815e-10,-2.255566415514e-08,-2.255566415514e+00,5.087579854795e-08,2.547366395738e-10,-2.652507637053e+01,2.261250280640e-03,2.261250280640e-03
4.342237061770e-02,-1.165776293823e-02,-2.712390661266e-10,-2.858093763704e-08,-2.858093763704e+00,8.168699962123e-08,4.240363734627e-10,-3.481134780786e+01,2.967651022014e-03,2.967651022014e-03
4.597662771285e-02,-1.140233722871e-02,-3.526811724729e-10,-3.584806396767e-08,-3.584806396767e+00,1.285083690230e-07,6.924828793272e-10,-4.526378569121e+01,3.858716433737e-03,3.858716433737e-03
4.853088480801e-02,-1.114691151920e-02,-4.543694096009e-10,-4.450803015749e-08,-4.450803015749e+00,1.980964748500e-07,1.109599249215e-09,-5.831465126592e+01,4.971296583599e-03,4.971296583599e-03
5.108514190317e-02,-1.089148580968e-02,-5.800510761155e-10,-5.470312066898e-08,-5.470312066898e+00,2.992431410925e-07,1.744765870577e-09,-7.444488010277e+01,6.346391002729e-03,6.346391002729e-03
5.363939899833e-02,-1.063606010017e-02,-7.338210777930e-10,-6.655911133251e-08,-6.655911133251e+00,4.430115301374e-07,2.692720500779e-09,-9.418002035100e+01,8.028802423583e-03,8.028802423583e-03
5.619365609349e-02,-1.038063439065e-02,-9.200692408526e-10,-8.017679928630e-08,-8.017679928630e+00,6.428319143795e-07,4.079482161973e-09,-1.180834708216e+02,1.006656032972e-02,1.006656032972e-02
5.874791318865e-02,-1.012520868114e-02,-1.143405394681e-09,-9.562332544524e-08,-9.562332544524e+00,9.143820369207e-07,6.068244553868e-09,-1.467468659587e+02,1.251010127914e-02,1.251010127914e-02
6.130217028381e-02,-9.869782971619e-03,-1.408562355815e-09,-1.129238575616e-07,-1.129238575616e+01,1.275179760659e-06,8.864596432246e-09,-1.807776246156e+02,1.541120744330e-02,1.541120744330e-02
6.385642737896e-02,-9.614357262104e-03,-1.720278523460e-09,-1.320542821074e-07,-1.320542821074e+01,1.743833342290e-06,1.272026425154e-08,-2.207838821367e+02,1.882172207418e-02,1.882172207418e-02
6.641068447412e-02,-9.358931552588e-03,-2.083163529853e-09,-1.529355867629e-07,-1.529355867629e+01,2.338929369852e-06,1.793447706421e-08,-2.673572476632e+02,2.279207957273e-02,2.279207957273e-02
6.896494156928e-02,-9.103505843072e-03,-2.501552138643e-09,-1.754305894303e-07,-1.754305894303e+01,3.077589170785e-06,2.485206752095e-08,-3.210540531693e+02,2.736970697798e-02,2.736970697798e-02
7.151919866444e-02,-8.848080133556e-03,-2.979353185373e-09,-1.993435761951e-07,-1.993435761951e+01,3.973786137026e-06,3.385758022625e-08,-3.823759661894e+02,3.259737121121e-02,3.259737121121e-02
