time_s,position_m,motion_velocity_m_per_s,source_charge_C,load_charge_C,source_current_A,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.858225894671e-05,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.371645178934e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.134515351514e-26,2.168404344971e-19,3.308480557327e-22,6.616961114655e-14,2.189208719643e-35,7.507043964947e-40
2.057467768401e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.534599393087e-26,0.000000000000e+00,6.606865171411e-22,1.321373034282e-13,8.730133478641e-35,4.495070167347e-39
2.743290357869e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.058823311718e-26,0.000000000000e+00,6.586704093045e-22,1.317340818609e-13,8.676934161867e-35,1.046415026947e-38
3.429112947336e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.356924140405e-25,0.000000000000e+00,6.566604536909e-22,1.313320907382e-13,8.624059028830e-35,1.639685624467e-38
4.114935536803e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.806589579903e-25,0.000000000000e+00,6.546566315266e-22,1.309313263053e-13,8.571506104034e-35,2.229340974805e-38
4.800758126270e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.254882849706e-25,0.000000000000e+00,6.526589240952e-22,1.305317848190e-13,8.519273424021e-35,2.815403108402e-38
5.486580715737e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.701808137039e-25,0.000000000000e+00,6.506673127373e-22,1.301334625475e-13,8.467359037296e-35,3.397893921450e-38
6.172403305204e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,3.147369616346e-25,0.000000000000e+00,6.486817788506e-22,1.297363557701e-13,8.415761004256e-35,3.976835176709e-38
6.858225894671e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,3.591571449336e-25,0.000000000000e+00,6.467023038895e-22,1.293404607779e-13,8.364477397120e-35,4.552248504324e-38
7.544048484138e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.034417785016e-25,0.000000000000e+00,6.447288693649e-22,1.289457738730e-13,8.313506299852e-35,5.124155402632e-38
8.229871073606e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.475912759733e-25,0.000000000000e+00,6.427614568443e-22,1.285522913689e-13,8.262845808092e-35,5.692577238961e-38
8.915693663073e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.916060497213e-25,0.000000000000e+00,6.408000479513e-22,1.281600095903e-13,8.212494029087e-35,6.257535250435e-38
9.601516252540e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,5.354865108596e-25,0.000000000000e+00,6.388446243655e-22,1.277689248731e-13,8.162449081615e-35,6.819050544763e-38
1.028733884201e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,5.792330692478e-25,0.000000000000e+00,6.368951678227e-22,1.273790335645e-13,8.112709095919e-35,7.377144101028e-38
1.097316143147e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,6.228461334949e-25,0.000000000000e+00,6.349516601142e-22,1.269903320228e-13,8.063272213637e-35,7.931836770473e-38
1.165898402094e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,6.663261109628e-25,0.000000000000e+00,6.330140830870e-22,1.266028166174e-13,8.014136587729e-35,8.483149277277e-38
1.234480661041e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.096734077704e-25,0.000000000000e+00,6.310824186432e-22,1.262164837286e-13,7.965300382412e-35,9.031102219331e-38
1.303062919988e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.528884287975e-25,0.000000000000e+00,6.291566487406e-22,1.258313297481e-13,7.916761773090e-35,9.575716069009e-38
1.371645178934e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.959715776880e-25,0.000000000000e+00,6.272367553916e-22,1.254473510783e-13,7.868518946285e-35,1.011701117393e-37
1.440227437881e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,8.389232568545e-25,0.000000000000e+00,6.253227206639e-22,1.250645441328e-13,7.820570099569e-35,1.065500775772e-37
1.508809696828e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,8.817438674814e-25,0.000000000000e+00,6.234145266795e-22,1.246829053359e-13,7.772913441501e-35,1.118972592077e-37
1.577391955774e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.244338095288e-25,0.000000000000e+00,6.215121556153e-22,1.243024311231e-13,7.725547191552e-35,1.172118564097e-37
1.645974214721e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.669934817365e-25,0.000000000000e+00,6.196155897024e-22,1.239231179405e-13,7.678469580046e-35,1.224940677450e-37
1.714556473668e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.009423281627e-24,0.000000000000e+00,6.177248112263e-22,1.235449622453e-13,7.631678848091e-35,1.277440905650e-37
1.783138732615e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.051723605511e-24,0.000000000000e+00,6.158398025263e-22,1.231679605053e-13,7.585173247512e-35,1.329621210189e-37
1.851720991561e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.093894848489e-24,0.000000000000e+00,6.139605459957e-22,1.227921091991e-13,7.538951040787e-35,1.381483540603e-37
1.920303250508e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.135937404455e-24,0.000000000000e+00,6.120870240817e-22,1.224174048163e-13,7.493010500983e-35,1.433029834550e-37
1.988885509455e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.177851666102e-24,0.000000000000e+00,6.102192192848e-22,1.220438438570e-13,7.447349911690e-35,1.484262017879e-37
2.057467768401e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.219638024925e-24,0.000000000000e+00,6.083571141590e-22,1.216714228318e-13,7.401967566959e-35,1.535182004704e-37
2.126050027348e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.261296871225e-24,0.000000000000e+00,6.065006913117e-22,1.213001382623e-13,7.356861771232e-35,1.585791697475e-37
2.194632286295e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.302828594108e-24,0.000000000000e+00,6.046499334032e-22,1.209299866806e-13,7.312030839289e-35,1.636092987049e-37
2.263214545242e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.344233581499e-24,0.000000000000e+00,6.028048231466e-22,1.205609646293e-13,7.267473096176e-35,1.686087752760e-37
2.331796804188e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.385512220133e-24,0.000000000000e+00,6.009653433080e-22,1.201930686616e-13,7.223186877146e-35,1.735777862490e-37
2.400379063135e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.415319742053e-24,-2.168404344971e-19,2.682834209732e-22,5.365668419465e-14,1.439519879382e-35,1.765483262388e-37
2.468961322082e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.433691151771e-24,2.168404344971e-19,2.674647448032e-22,5.349294896063e-14,1.430747794253e-35,1.775325734430e-37
2.537543581028e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.463351654009e-24,0.000000000000e+00,5.974966225846e-22,1.194993245169e-13,7.140044280000e-35,1.804715948500e-37
2.606125839975e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.504266799711e-24,0.000000000000e+00,5.956733409043e-22,1.191346681809e-13,7.096534581281e-35,1.853534785399e-37
2.674708098922e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.545057091426e-24,0.000000000000e+00,5.938556230312e-22,1.187711246062e-13,7.053290020116e-35,1.902056132142e-37
2.743290357869e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.585722910150e-24,0.000000000000e+00,5.920434519874e-22,1.184086903975e-13,7.010308980823e-35,1.950281801563e-37
2.811872616815e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.614919482201e-24,-2.168404344971e-19,2.593887551136e-22,5.187775102272e-14,1.345650525588e-35,1.978935330494e-37
2.880454875762e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.632681806384e-24,2.168404344971e-19,2.585972213251e-22,5.171944426502e-14,1.337450457541e-35,1.988135986814e-37
2.949037134709e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.661735081734e-24,0.000000000000e+00,5.886561586622e-22,1.177312317324e-13,6.930321462619e-35,2.016487110551e-37
3.017619393655e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.702044853521e-24,0.000000000000e+00,5.868598539643e-22,1.173719707929e-13,6.888089763900e-35,2.063872003399e-37
3.086201652602e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.742231618641e-24,0.000000000000e+00,5.850690307526e-22,1.170138061505e-13,6.846115414915e-35,2.110968144199e-37
3.154783911549e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.782295752452e-24,0.000000000000e+00,5.832836723000e-22,1.166567344600e-13,6.804396847435e-35,2.157777292536e-37
3.223366170496e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.810892475653e-24,-2.168404344971e-19,2.506557061980e-22,5.013114123959e-14,1.256565660992e-35,2.185419243442e-37
3.291948429442e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.828056781445e-24,2.168404344971e-19,2.498908216113e-22,4.997816432226e-14,1.248908454512e-35,2.194010797170e-37
3.360530688389e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.856513863278e-24,0.000000000000e+00,5.799763268293e-22,1.159952653659e-13,6.727450793648e-35,2.221362633941e-37
3.429112947336e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.896229260853e-24,0.000000000000e+00,5.782065089395e-22,1.156413017879e-13,6.686455339600e-35,2.267360433137e-37
3.497695206282e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.935823465514e-24,0.000000000000e+00,5.764420917104e-22,1.152884183421e-13,6.645709701909e-35,2.313077932896e-37
3.566277465229e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.975296847086e-24,0.000000000000e+00,5.746830586617e-22,1.149366117323e-13,6.605212358256e-35,2.358516841297e-37
3.634859724176e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.014649774263e-24,0.000000000000e+00,5.729293933634e-22,1.145858786727e-13,6.564961795596e-35,2.403678856007e-37
3.703441983123e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.042537461103e-24,-2.168404344971e-19,2.403330237029e-22,4.806660474059e-14,1.155199245644e-35,2.430152160189e-37
3.772024242069e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.058994894183e-24,2.168404344971e-19,2.395996391402e-22,4.791992782804e-14,1.148159741522e-35,2.438050638314e-37
