time_s,position_m,motion_velocity_m_per_s,source_charge_C,load_charge_C,source_current_A,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.858225894671e-05,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.371645178934e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.278173812143e-25,2.168404344971e-19,1.247603644980e-20,6.238018224899e-14,7.782574274835e-34,2.668732620944e-38
2.057467768401e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.662040097198e-24,0.000000000000e+00,2.351644134077e-20,1.175822067039e-13,2.765115066670e-33,1.481935711788e-37
2.743290357869e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,3.182056797076e-24,0.000000000000e+00,2.081037796272e-20,1.040518898136e-13,2.165359154756e-33,3.172651010707e-37
3.429112947336e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.527163464183e-24,0.000000000000e+00,1.841570434385e-20,9.207852171925e-14,1.695690832400e-33,4.496648660834e-37
4.114935536803e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,5.717487192890e-24,0.000000000000e+00,1.629658851404e-20,8.148294257021e-14,1.327893985980e-33,5.533470045641e-37
4.800758126270e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,6.770839030161e-24,0.000000000000e+00,1.442132172831e-20,7.210660864153e-14,1.039872601957e-33,6.345403951938e-37
5.486580715737e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.702980485736e-24,0.000000000000e+00,1.276184400263e-20,6.380922001316e-14,8.143233117376e-34,6.981228673392e-37
6.172403305204e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,8.527859374687e-24,0.000000000000e+00,1.129332424696e-20,5.646662123482e-14,6.376958627352e-34,7.479142448489e-37
6.858225894671e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.257818521301e-24,0.000000000000e+00,9.993788712723e-21,4.996894356362e-14,4.993790641728e-34,7.869058283884e-37
7.544048484138e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.903780447184e-24,0.000000000000e+00,8.843792195324e-21,4.421896097662e-14,3.910633019703e-34,8.174401028544e-37
8.229871073606e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.047541080708e-23,0.000000000000e+00,7.826127071758e-21,3.913063535879e-14,3.062413247165e-34,8.413514660904e-37
8.915693663073e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.098126301797e-23,0.000000000000e+00,6.925565819568e-21,3.462782909784e-14,2.398173096059e-34,8.600764334200e-37
9.601516252540e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.142890624550e-23,0.000000000000e+00,6.128633164450e-21,3.064316582225e-14,1.878007223220e-34,8.747399387180e-37
1.028733884201e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.182503866292e-23,0.000000000000e+00,5.423404447080e-21,2.711702223540e-14,1.470665789831e-34,8.862229167035e-37
1.097316143147e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.217558767713e-23,0.000000000000e+00,4.799327192110e-21,2.399663596055e-14,1.151677074846e-34,8.952152265731e-37
1.165898402094e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.248579862166e-23,0.000000000000e+00,4.247063209406e-21,2.123531604703e-14,9.018772952347e-35,9.022570964516e-37
1.234480661041e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.276031324358e-23,0.000000000000e+00,3.758348864888e-21,1.879174432444e-14,7.062593095103e-35,9.077715785040e-37
1.303062919988e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.300323915894e-23,0.000000000000e+00,3.325871430150e-21,1.662935715075e-14,5.530710384944e-35,9.120899645053e-37
1.371645178934e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.321821131575e-23,0.000000000000e+00,2.943159660677e-21,1.471579830338e-14,4.331094394117e-35,9.154716887505e-37
1.440227437881e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.340844638447e-23,0.000000000000e+00,2.604486965343e-21,1.302243482672e-14,3.391676176322e-35,9.181199140057e-37
1.508809696828e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.357679088969e-23,0.000000000000e+00,2.304785718313e-21,1.152392859157e-14,2.656018603671e-35,9.201937368529e-37
1.577391955774e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.372576380318e-23,0.000000000000e+00,2.039571431159e-21,1.019785715580e-14,2.079925811401e-35,9.218177456841e-37
1.645974214721e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.385759423581e-23,0.000000000000e+00,1.804875650586e-21,9.024378252929e-15,1.628788057039e-35,9.230895055585e-37
1.714556473668e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.397425479216e-23,0.000000000000e+00,1.597186577685e-21,7.985932888425e-15,1.275502481968e-35,9.240854195875e-37
1.783138732615e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.407749108696e-23,0.000000000000e+00,1.413396520203e-21,7.066982601015e-15,9.988448616608e-36,9.248653189798e-37
1.851720991561e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.416884786510e-23,0.000000000000e+00,1.250755391532e-21,6.253776957659e-15,7.821945247230e-36,9.254760575017e-37
1.920303250508e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.424969211594e-23,0.000000000000e+00,1.106829560626e-21,5.534147803128e-15,6.125358381373e-36,9.259543262963e-37
1.988885509455e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.432123352782e-23,0.000000000000e+00,9.794654371022e-22,4.897327185511e-15,4.796762712389e-36,9.263288581648e-37
2.057467768401e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.438454258891e-23,0.000000000000e+00,8.667572466492e-22,4.333786233246e-15,3.756340623094e-36,9.266221537387e-37
2.126050027348e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.444056660507e-23,0.000000000000e+00,7.670185145497e-22,3.835092572748e-15,2.941587008310e-36,9.268518332423e-37
2.194632286295e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.449014387462e-23,0.000000000000e+00,6.787568306310e-22,3.393784153155e-15,2.303554175641e-36,9.270316950577e-37
2.263214545242e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.453401623195e-23,0.000000000000e+00,6.006515180389e-22,3.003257590194e-15,1.803911230612e-36,9.271725446858e-37
2.331796804188e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.457284014774e-23,0.000000000000e+00,5.315338716916e-22,2.657669358458e-15,1.412641283777e-36,9.272828439045e-37
2.400379063135e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.417937917062e-23,-2.168404344971e-19,-1.200566677908e-20,-6.002833389541e-14,7.206801740517e-34,9.520442221270e-37
2.468961322082e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.340337680985e-23,2.168404344971e-19,-1.062416118777e-20,-5.312080593886e-14,5.643640047187e-34,9.961098384402e-37
2.537543581028e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.314448729551e-23,0.000000000000e+00,3.074409449754e-21,1.537204724877e-14,4.725996732369e-35,1.017083115254e-36
2.606125839975e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.334320587023e-23,0.000000000000e+00,2.720633693441e-21,1.360316846721e-14,3.700923846944e-35,1.019972801501e-36
2.674708098922e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.351905767486e-23,0.000000000000e+00,2.407567311660e-21,1.203783655830e-14,2.898190180087e-35,1.022235712236e-36
2.743290357869e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.367467401438e-23,0.000000000000e+00,2.130525830856e-21,1.065262915428e-14,2.269570157973e-35,1.024007795624e-36
2.811872616815e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.338456602531e-23,-2.168404344971e-19,-1.059067262468e-20,-5.295336312339e-14,5.608117332155e-34,1.044016924620e-36
2.880454875762e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.270002370790e-23,2.168404344971e-19,-9.371992003605e-21,-4.685996001802e-14,4.391711705782e-34,1.078307467845e-36
2.949037134709e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.252206982678e-23,0.000000000000e+00,4.182490116304e-21,2.091245058152e-14,8.746611786492e-35,1.096366455288e-36
3.017619393655e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.279241068031e-23,0.000000000000e+00,3.701206270301e-21,1.850603135150e-14,6.849463927657e-35,1.101714525804e-36
3.086201652602e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.303164310748e-23,0.000000000000e+00,3.275304298248e-21,1.637652149124e-14,5.363809123062e-35,1.105902595079e-36
3.154783911549e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.324334678996e-23,0.000000000000e+00,2.898411345567e-21,1.449205672784e-14,4.200394164057e-35,1.109182268411e-36
3.223366170496e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.300287211016e-23,-2.168404344971e-19,-9.911148560570e-21,-4.955574280285e-14,4.911543289485e-34,1.127464867698e-36
3.291948429442e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.236225174125e-23,2.168404344971e-19,-8.770661538509e-21,-4.385330769254e-14,3.846225191154e-34,1.157496244985e-36
3.360530688389e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.222316566057e-23,0.000000000000e+00,4.714624807851e-21,2.357312403925e-14,1.111384353940e-34,1.174496448063e-36
3.429112947336e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.252790175298e-23,0.000000000000e+00,4.172107623855e-21,2.086053811928e-14,8.703241012515e-35,1.181291950185e-36
3.497695206282e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.279757152019e-23,0.000000000000e+00,3.692018502946e-21,1.846009251473e-14,6.815500313046e-35,1.186613501866e-36
3.566277465229e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.303621008371e-23,0.000000000000e+00,3.267173777626e-21,1.633586888813e-14,5.337212246602e-35,1.190780804264e-36
3.634859724176e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.324738823909e-23,0.000000000000e+00,2.891216413105e-21,1.445608206553e-14,4.179566173705e-35,1.194044215074e-36
3.703441983123e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.300644850519e-23,-2.168404344971e-19,-9.917515564054e-21,-4.958757782027e-14,4.917855748163e-34,1.212341318341e-36
3.772024242069e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.236541659648e-23,2.168404344971e-19,-8.776295883735e-21,-4.388147941867e-14,3.851168471943e-34,1.242411292830e-36
