time_s,position_m,motion_velocity_m_per_s,source_charge_C,load_charge_C,source_current_A,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.858225894671e-05,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.371645178934e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,3.717851707199e-24,2.168404344971e-19,1.084202172485e-19,2.168404344971e-15,2.350988701644e-34,8.061805795848e-39
2.057467768401e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,0.000000000000e+00,1.084202172486e-19,2.168404344971e-15,2.350988701645e-34,2.418541738755e-38
2.743290357869e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,5.783646584543e-33,1.156729316909e-28,6.690113562979e-61,3.224722318340e-38
3.429112947336e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.085270318008e-46,6.170540636017e-42,1.903778587037e-87,3.224722318340e-38
4.114935536803e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.645828941316e-59,3.291657882632e-55,5.417505808145e-114,3.224722318340e-38
4.800758126270e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,8.779629092018e-73,1.755925818404e-68,1.541637739868e-140,3.224722318340e-38
5.486580715737e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,4.683468923070e-86,9.366937846140e-82,4.386976230672e-167,3.224722318340e-38
6.172403305204e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.498383579017e-99,4.996767158035e-95,1.248384101581e-193,3.224722318340e-38
6.858225894671e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.332755829158e-112,2.665511658317e-108,3.552476200311e-220,3.224722318340e-38
7.544048484138e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,7.109549210430e-126,1.421909842086e-121,1.010913799511e-246,3.224722318340e-38
8.229871073606e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.792569416669e-139,7.585138833338e-135,2.876716556051e-273,3.224722318340e-38
8.915693663073e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.023135694616e-152,4.046271389233e-148,8.186156077662e-300,3.224722318340e-38
9.601516252540e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.079236156058e-165,2.158472312117e-161,0.000000000000e+00,3.224722318340e-38
1.028733884201e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,5.757155506886e-179,1.151431101377e-174,0.000000000000e+00,3.224722318340e-38
1.097316143147e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.071138725700e-192,6.142277451401e-188,0.000000000000e+00,3.224722318340e-38
1.165898402094e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.638290482377e-205,3.276580964754e-201,0.000000000000e+00,3.224722318340e-38
1.234480661041e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,8.739415390736e-219,1.747883078147e-214,0.000000000000e+00,3.224722318340e-38
1.303062919988e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,4.662017035039e-232,9.324034070077e-228,0.000000000000e+00,3.224722318340e-38
1.371645178934e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.486940128516e-245,4.973880257031e-241,0.000000000000e+00,3.224722318340e-38
1.440227437881e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.326651352052e-258,2.653302704104e-254,0.000000000000e+00,3.224722318340e-38
1.508809696828e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,7.076985045680e-272,1.415397009136e-267,0.000000000000e+00,3.224722318340e-38
1.577391955774e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.775198152802e-285,7.550396305603e-281,0.000000000000e+00,3.224722318340e-38
1.645974214721e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.013869041820e-298,4.027738083640e-294,0.000000000000e+00,3.224722318340e-38
1.714556473668e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.074292885684e-311,2.148585771367e-307,0.000000000000e+00,3.224722318340e-38
1.783138732615e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,1.146232298352e-320,0.000000000000e+00,3.224722318340e-38
1.851720991561e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
1.920303250508e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
1.988885509455e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
2.057467768401e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
2.126050027348e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
2.194632286295e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
2.263214545242e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
2.331796804188e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.224722318340e-38
2.400379063135e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,-2.168404344971e-19,-1.084202172485e-19,-2.168404344971e-15,2.350988701644e-34,4.030902897924e-38
2.468961322082e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435703414399e-24,2.168404344971e-19,-5.783646584544e-33,-1.156729316909e-28,6.690113562981e-61,4.837083477509e-38
2.537543581028e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,0.000000000000e+00,1.084202172485e-19,2.168404344971e-15,2.350988701644e-34,5.643264057094e-38
2.606125839975e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,5.783646584543e-33,1.156729316909e-28,6.690113562978e-61,6.449444636679e-38
2.674708098922e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.085270318008e-46,6.170540636016e-42,1.903778587036e-87,6.449444636679e-38
2.743290357869e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.645828941316e-59,3.291657882631e-55,5.417505808144e-114,6.449444636679e-38
2.811872616815e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,-2.168404344971e-19,-1.084202172485e-19,-2.168404344971e-15,2.350988701644e-34,7.255625216264e-38
2.880454875762e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435703414399e-24,2.168404344971e-19,-5.783646584544e-33,-1.156729316909e-28,6.690113562981e-61,8.061805795849e-38
2.949037134709e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,0.000000000000e+00,1.084202172485e-19,2.168404344971e-15,2.350988701644e-34,8.867986375433e-38
3.017619393655e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,5.783646584543e-33,1.156729316909e-28,6.690113562978e-61,9.674166955018e-38
3.086201652602e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.085270318008e-46,6.170540636016e-42,1.903778587036e-87,9.674166955018e-38
3.154783911549e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.645828941316e-59,3.291657882631e-55,5.417505808144e-114,9.674166955018e-38
3.223366170496e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,-2.168404344971e-19,-1.084202172485e-19,-2.168404344971e-15,2.350988701644e-34,1.048034753460e-37
3.291948429442e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435703414399e-24,2.168404344971e-19,-5.783646584544e-33,-1.156729316909e-28,6.690113562981e-61,1.128652811419e-37
3.360530688389e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,0.000000000000e+00,1.084202172485e-19,2.168404344971e-15,2.350988701644e-34,1.209270869377e-37
3.429112947336e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,5.783646584543e-33,1.156729316909e-28,6.690113562978e-61,1.289888927336e-37
3.497695206282e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.085270318008e-46,6.170540636016e-42,1.903778587036e-87,1.289888927336e-37
3.566277465229e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.645828941316e-59,3.291657882631e-55,5.417505808144e-114,1.289888927336e-37
3.634859724176e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,8.779629092017e-73,1.755925818403e-68,1.541637739868e-140,1.289888927336e-37
3.703441983123e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115355512160e-23,-2.168404344971e-19,-1.084202172485e-19,-2.168404344971e-15,2.350988701644e-34,1.370506985294e-37
3.772024242069e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435703414399e-24,2.168404344971e-19,-5.783646584544e-33,-1.156729316909e-28,6.690113562981e-61,1.451125043253e-37
