time_s,Q_analytical_nC,Isrc_analytical_uA,Iload_analytical_uA,Q_empirical_nC,Isrc_empirical_uA,Iload_empirical_uA
2.109238887633e-02,-3.238578999161e+02,2.164723507051e-01,9.809070603235e-03,-3.247008283395e+02,6.008225135272e-02,2.572568893079e-03
2.123115459262e-02,-3.238275650125e+02,2.207659958217e-01,1.006715702676e-02,-3.246923992579e+02,6.141529573247e-02,2.644473884269e-03
2.136992030892e-02,-3.237966304130e+02,2.251158147863e-01,1.033026606054e-02,-3.246837836645e+02,6.277053784566e-02,2.717951344496e-03
2.150868602521e-02,-3.237650882980e+02,2.295221620916e-01,1.059846114588e-02,-3.246749784606e+02,6.414824532046e-02,2.793026931698e-03
2.164745174150e-02,-3.237329307986e+02,2.339853918155e-01,1.087180608357e-02,-3.246659805101e+02,6.554868817936e-02,2.869726604361e-03
2.178621745779e-02,-3.237001499970e+02,2.385058576154e-01,1.115036503290e-02,-3.246567866393e+02,6.697213885591e-02,2.948076624125e-03
2.192498317408e-02,-3.236667379262e+02,2.430839127153e-01,1.143420251072e-02,-3.246473936365e+02,6.841887221077e-02,3.028103558390e-03
2.206374889037e-02,-3.236326865704e+02,2.477199099035e-01,1.172338339045e-02,-3.246377982517e+02,6.988916554426e-02,3.109834282955e-03
2.220251460667e-02,-3.235979878648e+02,2.524142015182e-01,1.201797290109e-02,-3.246279971962e+02,7.138329861521e-02,3.193295984658e-03
2.234128032296e-02,-3.235626336955e+02,2.571671394434e-01,1.231803662621e-02,-3.246179871425e+02,7.290155365513e-02,3.278516164041e-03
2.248004603925e-02,-3.235266159001e+02,2.619790750993e-01,1.262364050298e-02,-3.246077647236e+02,7.444421538374e-02,3.365522638026e-03
2.261881175554e-02,-3.234899262675e+02,2.668503594316e-01,1.293485082111e-02,-3.245973265328e+02,7.601157102420e-02,3.454343542614e-03
2.275757747183e-02,-3.234525565376e+02,2.717813429047e-01,1.325173422184e-02,-3.245866691234e+02,7.760391031934e-02,3.545007335587e-03
2.289634318812e-02,-3.234144984020e+02,2.767723754923e-01,1.357435769694e-02,-3.245757890084e+02,7.922152554752e-02,3.637542799243e-03
2.303510890442e-02,-3.233757435037e+02,2.818238066685e-01,1.390278858759e-02,-3.245646826599e+02,8.086471153779e-02,3.731979043130e-03
2.317387462071e-02,-3.233362834372e+02,2.869359853981e-01,1.423709458340e-02,-3.245533465091e+02,8.253376568334e-02,3.828345506808e-03
2.331264033700e-02,-3.232961097486e+02,2.921092601275e-01,1.457734372131e-02,-3.245417769457e+02,8.422898796078e-02,3.926671962622e-03
2.345140605329e-02,-3.232552139358e+02,2.973439787756e-01,1.492360438449e-02,-3.245299703174e+02,8.595068094492e-02,4.026988518488e-03
2.359017176958e-02,-3.232135874482e+02,3.026404887248e-01,1.527594530130e-02,-3.245179229301e+02,8.769914982003e-02,4.129325620703e-03
2.372893748587e-02,-3.231712216874e+02,3.079991368095e-01,1.563443554419e-02,-3.245056310468e+02,8.947470240108e-02,4.233714056761e-03
2.386770320217e-02,-3.231281080066e+02,3.134202693096e-01,1.599914452854e-02,-3.244930908877e+02,9.127764914654e-02,4.340184958192e-03
2.400646891846e-02,-3.230842377111e+02,3.189042319374e-01,1.637014201160e-02,-3.244802986300e+02,9.310830317443e-02,4.448769803413e-03
2.414523463475e-02,-3.230396020582e+02,3.244513698305e-01,1.674749809136e-02,-3.244672504070e+02,9.496698027620e-02,4.559500420597e-03
2.428400035104e-02,-3.229941922576e+02,3.300620275380e-01,1.713128320535e-02,-3.244539423079e+02,9.685399893580e-02,4.672408990556e-03
2.442276606733e-02,-3.229479994709e+02,3.357365490151e-01,1.752156812956e-02,-3.244403703779e+02,9.876968034227e-02,4.787528049638e-03
2.456153178362e-02,-3.229010148122e+02,3.414752776103e-01,1.791842397726e-02,-3.244265306171e+02,1.007143484064e-01,4.904890492646e-03
2.470029749992e-02,-3.228532293479e+02,3.472785560536e-01,1.832192219777e-02,-3.244124189805e+02,1.026883297765e-01,5.024529575767e-03
2.483906321621e-02,-3.228046340970e+02,3.531467264494e-01,1.873213457538e-02,-3.243980313778e+02,1.046919538522e-01,5.146478919515e-03
2.497782893250e-02,-3.227552200310e+02,3.590801302637e-01,1.914913322807e-02,-3.243833636726e+02,1.067255528029e-01,5.270772511697e-03
2.511659464879e-02,-3.227049780740e+02,3.650791083121e-01,1.957299060631e-02,-3.243684116822e+02,1.087894615809e-01,5.397444710385e-03
2.525536036508e-02,-3.226538991031e+02,3.711440007535e-01,2.000377949190e-02,-3.243531711775e+02,1.108840179394e-01,5.526530246914e-03
2.539412608137e-02,-3.226019739478e+02,3.772751470748e-01,2.044157299666e-02,-3.243376378819e+02,1.130095624443e-01,5.658064228890e-03
2.553289179767e-02,-3.225491933910e+02,3.834728860808e-01,2.088644456126e-02,-3.243218074717e+02,1.151664384929e-01,5.792082143208e-03
2.567165751396e-02,-3.224955481684e+02,3.897375558846e-01,2.133846795390e-02,-3.243056755752e+02,1.173549923298e-01,5.928619859097e-03
2.581042323025e-02,-3.224410289688e+02,3.960694938952e-01,2.179771726908e-02,-3.242892377725e+02,1.195755730591e-01,6.067713631172e-03
2.594918894654e-02,-3.223856264343e+02,4.024690368055e-01,2.226426692633e-02,-3.242724895951e+02,1.218285326631e-01,6.209400102506e-03
2.608795466283e-02,-3.223293311604e+02,4.089365205821e-01,2.273819166887e-02,-3.242554265254e+02,1.241142260167e-01,6.353716307714e-03
