electrode_count,comsol_scaled_transfer_charge_nC,current_peak_uA_1G,voltage_peak_V_1G,power_mean_mW_1G,energy_uJ_1G,raw_charge_peak_to_peak_C
2,380.0,3.69307669962043,3693.07669962043,2.709130940745365,1776.6337777553817,4.769554334691437e-06
4,386.9857261124665,9.941399625885191,9941.399625885191,17.770066363634747,11653.515767643974,4.85723538800902e-06
6,387.7113890485705,15.968513026248647,15968.513026248647,45.98162788580378,30154.508971656265,4.866343516436441e-06
